level,group_key,file_count,bytes,aggregate_sha256,role_counts_json
subtree,collections/fawaz-hadith-api-v1/editions/ara-tirmidhi1,8012,20314885,78F44CACCFFDAFF1C90DD5788A930D1F0166E80196B7AEF5EAB1A29566F50A77,"{""generated"": 4006, ""mirror"": 4006}"
subtree,collections/fawaz-hadith-api-v1/editions/ara-tirmidhi1.json,1,4871835,51D18CBF4D4DA64D6BD4A35AE1814D87829B87557694B5D86F641F5901B47D5E,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ara-tirmidhi1.min.json,1,4235154,5EA52A6B24034E23D3F7CB37130004F0BA219F9A8AC4FCBDA5F44A22CEEA1E33,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-abudawud,10636,35117917,92639FCC3476C0E4860A1DF00F9E2EC292012936B1E630A73E8D372EB7439DFD,"{""generated"": 5318, ""mirror"": 5318}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-abudawud.json,1,8489414,26592B532DFA3DA94BF81E41F489ADB6C002CD086CBE05B251788DCFF8C8564B,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-abudawud.min.json,1,7633503,F3749956C098D98222272CF4E4CF07846F3CAB2EB1C3C06654BBF44F4667E56F,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-bukhari,15322,63774302,69D75447086C9D5D9386A304B68EAFECA96CE2A870972860B627C9502F86A24F,"{""generated"": 7661, ""mirror"": 7661}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-bukhari.json,1,15149763,A4354AF900FCE85BBFC1F033145C32FFA7901A80130A5B3B60117345E80820E0,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-bukhari.min.json,1,14712741,C8D6DC75FBB7312C9695527DFD04FBA35B18C59ADA36B19DD6481CA07FBD7C28,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-ibnmajah,8758,24259898,1DADD7FEA909B3C8A34F50D84B9256E7BE8525E1B6A9F0340FB41C0C98FD4592,"{""generated"": 4379, ""mirror"": 4379}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-ibnmajah.json,1,5850729,75273ED29CF85ADE63836B4E3C7B6DA7426C534D357F293E4AF502FC0071EB5D,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-ibnmajah.min.json,1,5126600,6241598CA5CBB917846DEF5F7C08A50757F0A483BBC983B02AF7DD92B99CF2CA,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-malik,3840,12836574,9653DA270826879998C7C0EA0A6DDD9826B2E791FE9E1F61E1CB6C3CB882A112,"{""generated"": 1920, ""mirror"": 1920}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-malik.json,1,3066203,F226E47D6FAC5186EFDBA5F68E3FCCA4A55AC6F465B490240685EC518D0698CF,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-malik.min.json,1,2896154,9DF475C25D8439F39A6E97143731FDE3B345D293D6C3896D87EC26020EF569EB,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-muslim,15240,48817176,84D568EEF89D696060AE8E2E746D4FAFBA34F020269D28492ECC40F4AA523BD8,"{""generated"": 7620, ""mirror"": 7620}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-muslim.json,1,11403069,AE0E8B6DA6529F261DAD2A9F433FBFF4CA5300FAE256B13053C1AA726C64000D,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-muslim.min.json,1,10971438,08822CC73C7813FFE93866E0E72FFB0815BBDEDD4C9707F767B9F4D9F62662F3,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-nasai,11620,34122336,AEA221A264DB2418F5CC7A3633C6BB4A68F4C66694CA8DD2B750CED7D82B7BE5,"{""generated"": 5810, ""mirror"": 5810}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-nasai.json,1,8177628,9BC18B5ED07EC9C27FD460CFB0A693BD39CCF782BD1A3B64685B36097D6DB582,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-nasai.min.json,1,7340594,7DCF9E8C7DB543584FCC96B70FEE9DDC596D9025E54FD6F3394FD5AFF4BF2D61,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-nawawi,88,301009,AC883BF97F014803719B15EEDFFADD039EEAA0145C7BB081DFAF93E9BC3056E6,"{""generated"": 44, ""mirror"": 44}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-nawawi.json,1,71111,45499672F2BBA5FE9694B42A3F0BF3400DD95037E3B103CD65BF8C40479BBE67,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-nawawi.min.json,1,68588,9281435CDC294A446BD8F5D22D6B803EE8C327E707008EDBEE38C43F4332F329,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-tirmidhi,8012,36172777,71364D2E645510CDE2D4390A85122C92995BDC80FEB208BE4830A417A20E66A2,"{""generated"": 4006, ""mirror"": 4006}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-tirmidhi.json,1,8836308,99A958ACF296A297154AD58E7834F450AA7637695366EFFF4F4B38FE0A42225A,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ben-tirmidhi.min.json,1,8199627,AA3FF8B7B9B94CD50758D9400BC9B7EDE6CA4381413DC14B7F4124A182BE7589,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-abudawud,10636,18939909,93D6080242A0705DC566EF1F7EDC8EAA3CCF06B63FF9D6DAA1F20943DFDF39A3,"{""generated"": 5318, ""mirror"": 5318}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-abudawud.json,1,4444912,8672D2899B2CF7EBF3B237BF406BC31301418AD937E35A4485A04E028DAB4255,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-abudawud.min.json,1,3589001,68BE27F95A12932D18F9DBC810737561959181BA280FFD6EAACDA5B1E7E14516,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-bukhari,15322,24208494,975216E9BBC2B1F1B619DC815E7241AC8F31CF852A807FD07E1A5AFA56C9632A,"{""generated"": 7661, ""mirror"": 7661}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-bukhari.json,1,5258311,B0748A0F7DA8FC65A3BF8B1CBCDA61EC953BAF123FA8D45EC4AFEC8A6B7B8E16,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-bukhari.min.json,1,4821289,C92BBD84E04E66AAA3A1A446FEFF2DF3690C68BBD595332CDCD292E5C20FC14C,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-dehlawi,84,51851,2E3BA740ED150F424B3BA184E4AE440347A5C8FDDFB40BF30E0680DFEA6FED88,"{""generated"": 42, ""mirror"": 42}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-dehlawi.json,1,8515,58AF8897B29AA54E157C5DF1337C192C26BD073B6F9ACBBB74BC07528A4ADF7F,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-dehlawi.min.json,1,6106,2DF018DDEEC9CB5B679E8B4B97A8C54132A80E6CE81A13BFA3D7B2DB67C33F2A,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-ibnmajah,8758,14272450,1DF62904BDDC52401E1B4C7F40C49FF417752382BE2FEDD1B92FFDDB40486A1E,"{""generated"": 4379, ""mirror"": 4379}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-ibnmajah.json,1,3353867,80BDEA353C7138F67010786BAB126BE3987631A642B05EEA21D74D6AE87FE278,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-ibnmajah.min.json,1,2629738,8313138243A26D87393067D2DB8ECC2265482086063C5ABFE03414A962ABE4F9,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-malik,3840,7144858,97F105B59678FA9848228526E80C576F934BB2DBCB5F6B57886A766AA8E8F4CD,"{""generated"": 1920, ""mirror"": 1920}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-malik.json,1,1643274,C4FD179B5BE87811978B5AAE942B2423FF01F6E2C6A011B04B8447E20D792632,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-malik.min.json,1,1473225,F794CBACF18BA0248A182A9189486D04444B45B5D3F3B9F808B84E3A3C613955,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-muslim,15240,20692288,CA40F7F90A40B27CF8450641C66743A0668CD88FF68B4B0A19D7DEAA63BCB4F7,"{""generated"": 7620, ""mirror"": 7620}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-muslim.json,1,4371847,141E3C0C41A65BB2D4CCD51DE40B9C4BE98B95101131C71E0A3B1506D7D61002,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-muslim.min.json,1,3940216,85FE0FBF091F6F4D9BE06B7637C66F3C060C8BC975D53B90F1554C93CE569EB6,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-nasai,11620,18075364,4E853260A49074B5692443E31EA579D08976393B74C32430605A0A1D2CBD16AB,"{""generated"": 5810, ""mirror"": 5810}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-nasai.json,1,4165885,B77E420A77E70859F6644F6E16D89C1919619DBCF39BB9C420C8840615CC3409,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-nasai.min.json,1,3328851,DB1C9F95BB6FE7499829155C4A925FDC2B9CDF2EB4C205893C87A55DD6E344C4,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-nawawi,88,162377,41F1FAC83F460BCA69F4866D66992B0408167DFD38C542DC823899EDAEA9A77A,"{""generated"": 44, ""mirror"": 44}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-nawawi.json,1,36453,686169D6A5A92CB7AD4B2826EAAA1E1C2D7E88D1A4DD1C0DC5A73FED0944C80C,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-nawawi.min.json,1,33930,0AD04809A8BB48E12E5B9CF8C17377FDA398C8AC37700A3C5D6E03333DE8E184,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-qudsi,84,181923,F908CEBE20EBEF39BD65D5041A51DBB9570B454A8FB90032AF93655B5F008026,"{""generated"": 42, ""mirror"": 42}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-qudsi.json,1,41823,E4F7F35E4B1EE56F13E0F757EED82FD98C15C1E56A30EFBA599274805C69C5E8,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-qudsi.min.json,1,39414,DDB1422D5BBB04F2E3240699D70E6B6DD5CA921CBB2F47F1A630930F3C6EDDBF,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-tirmidhi,8012,13724901,688BD30A5FBD956573112728565D103BD69E8CC74CF9F9579A64E30A2362FBAD,"{""generated"": 4006, ""mirror"": 4006}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-tirmidhi.json,1,3224339,B4C33D2A41AE79DF7C02F797CC86AE7AECE739D2B7BD0EA53F7124F00F885A40,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/eng-tirmidhi.min.json,1,2587658,875FF4FDC776DA549526E234EDBA3A76CFFD7FAE210563C46DCA62F873BF0CC7,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-abudawud,10636,20200517,19EFE4A82DF1DCE85D7C0F3EF82A311B8FF200EADC0999516CE766FDD1E35755,"{""generated"": 5318, ""mirror"": 5318}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-abudawud.json,1,4760064,E1C0312EF7935216B2BEE7D75E29B91729403F661BC05B1EF9A976724135421C,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-abudawud.min.json,1,3904153,0B3C76CD56635F1395E195041D0F7845A13409A7270EE4E4BA641F41CC86A1D4,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-bukhari,15322,25702622,E94135E16B5ECA771CD39DAF5AAE111186CA7AB7A0749E88ADEF8EE62BAEC4FB,"{""generated"": 7661, ""mirror"": 7661}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-bukhari.json,1,5631843,EDB63A263BFD55AA9043F0910D224307A586DA0C8CA7413DFCAC60D9D04A9C2F,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-bukhari.min.json,1,5194821,DE8AB1BF3B466A3E1CC72EBCB7C29C989CCA1A7E3777F39CFA6BAD01697C6EA3,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-dehlawi,84,52895,C7E541A269F18190BFA198DBF0DA863B086DCF17812D5932221417AA1F602F53,"{""generated"": 42, ""mirror"": 42}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-dehlawi.json,1,8776,16D3DC09EBACFA38EAB4430B54DC7FFD1A21F801806474D6DEF9C5468ADA968C,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-dehlawi.min.json,1,6367,2BAE0D1E42C1A31828A09DEFC2A6EB039C81C4C61BD07A4A4468BABAD73F5224,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-ibnmajah,8758,14486422,3DE4D41500F9B6C4D176A79373CB2ECC7D18D9FA0C8EBB470C8EC8A26E101C13,"{""generated"": 4379, ""mirror"": 4379}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-ibnmajah.json,1,3407360,A12BFE5F39751E5D1699F0D27D9D3F29B75D8C9163FF8437369A98ABE11662B8,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-ibnmajah.min.json,1,2683231,2EA15D4BF59F40ECFBE6EFC6DB523F143C6059188AB241475AA8500D9BCB967B,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-malik,3840,6731264,B6EA07EFC506BEDAD23C6E6850F7D5079E59432DEEC9E9416E2B3A8475B9FAE8,"{""generated"": 1920, ""mirror"": 1920}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-malik.json,1,1541044,DD5812B9A5D7AF2592963E39A9EA63D6577970234E7E3E584C5734D0FB5108A4,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-malik.min.json,1,1368658,A72B1ADC43D33E7DB09CCD2F27007D454436C99E928C446CB1851CD0BCD967D3,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-muslim,15240,21092280,FFADB5263FDF08F4CEABF9D12A3CAA3026A4453D433CB6C49FACA8B9B1E68AD1,"{""generated"": 7620, ""mirror"": 7620}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-muslim.json,1,4471845,6C3946F854C5A7940F8E51004A35C3E5E35518378098714BFB196F936B038DE2,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-muslim.min.json,1,4040214,6BA82F451C9B004DDD0F61FC80A7E400F3C43D6EAB788B4EB4D7D7A01530BFE4,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nasai,11620,18614120,8A183FE7C0BF9BCBE56775828745A48022E9BA2BE22A61B8526A64F4DEA249A5,"{""generated"": 5810, ""mirror"": 5810}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nasai.json,1,4300574,A0A1A981E4D2573C113B445E075765FBB031D036912F142E73E97E2D820B6D1B,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nasai.min.json,1,3463540,AC885B251BA55E35E870CCDA89DFC98B49651D3AED69DFEAE2E15C85230A7376,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nawawi,88,147113,A46DF6E8AFAD1856EF225326BBCFA95E5B4A65825A8C26CEC969D71F6888ECD2,"{""generated"": 44, ""mirror"": 44}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nawawi.json,1,32637,D90B211C325AC5A6CAB20D5CDBDDBD19021EF474A1C191E922AE01C05AD05D8C,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nawawi.min.json,1,30114,1F88005C7981BEEDD08938A6487996EB4EC1F72A3140AF1B0A5799FC26BF8095,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-qudsi,84,162055,7EB83D883E2C1E5DAA084D2376C48FC86121CA49E268168690D8D05947399F69,"{""generated"": 42, ""mirror"": 42}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-qudsi.json,1,36856,B30045459B300D41B6CC41547717984A3A203E4F588FF7D056A8F3ADC24EE2EE,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-qudsi.min.json,1,34447,BEEBE5A70491EE3E1C50B1A78D79299A10E77D98268780AFD4402BF94CBF7C26,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-abudawud,10636,24158117,C5E6D8D3928545A98828D161A0485F43FD43436C33641C30312F9FCFBD80D75A,"{""generated"": 5318, ""mirror"": 5318}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-abudawud.json,1,5749464,AA92A7360C1192C1AD738E01B9E02038976737AB34B0EDE0524439CEE55A9BAB,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-abudawud.min.json,1,4893553,A26884A2831980DF8719197F660DC26E8EF08CE1CAA855306BFE4629BE367C8B,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-bukhari,15322,31127422,A440F12F26EEDB0F7EDB4AC8375827293E8B3EA4966106D1921408219D0E8049,"{""generated"": 7661, ""mirror"": 7661}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-bukhari.json,1,6988043,3F0602BC1149013E25B4FC89E17F3907A2937FC478CB7CDE0CEEA722F20AF46D,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-bukhari.min.json,1,6551021,F6333CCEBB787D4D000DD6A6420A453987D76202A3559DE586FFC16510A9599D,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-ibnmajah,8758,18530514,16C47906852F3700C1FD292CF2E0CB822115F29AEB222ACBE4F2B167291FECEF,"{""generated"": 4379, ""mirror"": 4379}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-ibnmajah.json,1,4418383,F5987D9CD61BD7D82E3782D4B2D9BD68B17A973A4F0A49CC6B90D529232D8738,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-ibnmajah.min.json,1,3694254,00652D1469E3AC92EF877AC0BFE098B6DD5B6244EF2AB22688EDB2E9A2B02070,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-malik,3840,5490236,373404DC6B96BBD69B4148E1EA7CD38EFE2819659B187165D394EACA58B6B00C,"{""generated"": 1920, ""mirror"": 1920}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-malik.json,1,1229647,988A2F60B18F36D18E818C0B6F2AB977C24A8D383490F67FAACFF655AF6C7CCF,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-malik.min.json,1,1059541,E248E757442FCA04CF2E4875E628E507D75F0A3A58CACF46E81AA19CF5AFE83F,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-muslim,15240,27594444,1FDEA27A41549C4A3F1D1CF3A63D658D0A4488378A5CF4052D42339870AA4418,"{""generated"": 7620, ""mirror"": 7620}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-muslim.json,1,6097386,116E647ABAEEDAD555CAEF39D78DCF38761E47F8A47242EFCDABB7C3BC05DC56,"{""principal"": 1}"
